醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
5901113385,0,34,2020/02/10 18:00:38
5901113394,0,4,2020/02/10 18:00:38
5901113438,0,52,2020/02/10 18:00:38
5901113456,4,0,2020/02/10 18:00:38
5901113509,2,0,2020/02/10 18:00:38
5901113527,0,22,2020/02/10 18:00:38
5901113545,6,28,2020/02/10 18:00:38
5901113554,104,22,2020/02/10 18:00:38
5901113563,0,20,2020/02/10 18:00:38
5901120022,9,10,2020/02/10 18:00:38
5901120139,0,76,2020/02/10 18:00:38
5901120175,0,16,2020/02/10 18:00:38
5901120184,196,108,2020/02/10 18:00:38
5901121421,10,82,2020/02/10 18:00:38
5901121449,1,45,2020/02/10 18:00:38
5901121501,6,26,2020/02/10 18:00:38
5901121574,30,66,2020/02/10 18:00:38
5901121583,4,8,2020/02/10 18:00:38
5901121592,0,32,2020/02/10 18:00:38
5901121618,0,42,2020/02/10 18:00:38
5901121627,12,24,2020/02/10 18:00:38
5901121672,86,24,2020/02/10 18:00:38
5901121725,6,8,2020/02/10 18:00:38
5901121798,0,44,2020/02/10 18:00:38
5901121823,0,24,2020/02/10 18:00:38
5901121869,194,52,2020/02/10 18:00:38
5901121896,1,26,2020/02/10 18:00:38
5901121903,0,64,2020/02/10 18:00:38
5901121912,83,76,2020/02/10 18:00:38
5901121930,0,28,2020/02/10 18:00:38
5901121976,0,42,2020/02/10 18:00:38
5901121985,205,148,2020/02/10 18:00:38
5901122026,2,78,2020/02/10 18:00:38
5901122035,8,40,2020/02/10 18:00:38
5901150011,0,30,2020/02/10 18:00:38
5901150128,2,36,2020/02/10 18:00:38
5901150146,0,33,2020/02/10 18:00:38
5901150244,0,28,2020/02/10 18:00:38
5901150253,232,90,2020/02/10 18:00:38
5901150271,16,0,2020/02/10 18:00:38
5901150280,0,4,2020/02/10 18:00:38
5901150342,0,130,2020/02/10 18:00:38
5901150351,0,64,2020/02/10 18:00:38
5901150397,0,96,2020/02/10 18:00:38
5901150459,176,104,2020/02/10 18:00:38
5901150468,0,28,2020/02/10 18:00:38
5901150511,0,34,2020/02/10 18:00:38
5901150548,0,40,2020/02/10 18:00:38
5901150575,0,62,2020/02/10 18:00:38
5901150593,0,32,2020/02/10 18:00:38
5901150600,6,32,2020/02/10 18:00:38
5901150762,0,2,2020/02/10 18:00:38
5901150771,0,12,2020/02/10 18:00:38
5901150815,0,24,2020/02/10 18:00:38
5901151956,2,32,2020/02/10 18:00:38
5901152051,0,50,2020/02/10 18:00:38
5901152079,0,52,2020/02/10 18:00:38
5901152122,0,104,2020/02/10 18:00:38
